time,lastnum,result,maximumRoll,maximum,minimum
100,2425,end,9,2937,2332
100,2992,end,77,3171,2790
87,3222,win,86,3222,2930
100,2706,end,5,3017,2493
100,2606,end,19,3011,2570
30,3219,win,29,3219,2930
43,3218,win,42,3218,2884
100,2889,end,65,3040,2826
100,2636,end,14,3104,2573
71,3204,win,70,3204,2863
100,2428,end,22,3022,2428
100,2873,end,7,3017,2648
100,2837,end,2,2940,2709
55,3202,win,54,3202,2902
100,2973,end,71,3115,2865
100,2900,end,57,3167,2793
100,2835,end,30,3089,2684
100,2977,end,13,3047,2707
100,2414,end,6,2991,2348
100,2669,end,0,2930,2669
100,3019,end,77,3048,2735
100,2688,end,3,3028,2688
78,3245,win,77,3245,2926
100,2822,end,13,2978,2587
100,2435,end,0,3010,2435
100,3093,end,99,3093,2627
100,2668,end,8,3037,2662
40,3202,win,39,3202,2832
100,2614,end,12,3047,2550
100,3025,end,18,3157,2807
100,2907,end,18,3072,2668
100,2123,end,15,3022,2123
100,2804,end,19,3081,2632
100,2478,end,11,3050,2450
100,2981,end,96,3121,2782
100,2945,end,0,3010,2766
100,2847,end,1,2972,2552
100,2741,end,40,3078,2600
39,3218,win,38,3218,2850
42,3203,win,41,3203,2892
100,2854,end,27,3041,2799
100,2746,end,33,2957,2725
100,2787,end,61,3059,2787
100,2195,end,0,2990,2143
100,2879,end,49,3045,2701
100,2719,end,51,3063,2695
100,2579,end,4,2961,2427
100,3055,end,88,3149,2698
100,2988,end,82,3114,2827
15,3204,win,14,3204,2940
68,3207,win,67,3207,2926
100,2879,end,71,3055,2830
100,2212,end,1,3000,2184
100,2385,end,17,3022,2336
50,3219,win,49,3219,2904
100,2891,end,1,3000,2758
100,2690,end,10,3087,2690
36,3237,win,35,3237,2894
60,3202,win,59,3202,2817
100,3078,end,96,3124,2739
100,2904,end,67,3042,2800
time,lastnum,result,maximumRoll,maximum,minimum
100,2971,end,38,3013,2712
100,2118,end,29,3011,2094
100,2957,end,38,3117,2856
100,2993,end,93,3077,2709
100,2874,end,4,3027,2755
23,3205,win,22,3205,2930
100,2971,end,52,3108,2806
100,3058,end,98,3058,2715
100,2489,end,2,2979,2466
94,3228,win,93,3228,2813
100,3038,end,97,3084,2798
39,3213,win,38,3213,2898
100,3126,end,98,3126,2581
28,3205,win,27,3205,2884
100,2320,end,2,2982,2320
38,3220,win,37,3220,2860
100,2842,end,37,3159,2760
100,2939,end,24,3145,2760
100,2845,end,45,3007,2748
100,2519,end,1,2951,2408
100,3064,end,98,3064,2777
100,2957,end,92,3055,2602
58,3227,win,57,3227,2865
100,2703,end,24,3045,2675
19,3214,win,18,3214,2940
71,3206,win,70,3206,2757
32,3201,win,31,3201,2930
100,3044,end,94,3058,2775
100,3049,end,54,3139,2871
100,2598,end,0,2930,2518
100,2558,end,0,2990,2402
100,3053,end,85,3174,2807
100,2784,end,13,2995,2720
66,3206,win,65,3206,2878
100,2349,end,0,3010,2248
43,3206,win,42,3206,2926
100,3001,end,43,3176,2909
100,2911,end,71,3085,2801
37,3210,win,36,3210,2940
100,2872,end,36,3098,2780
100,3061,end,38,3108,2862
100,2301,end,0,2990,2280
91,3225,win,90,3225,2860
100,2910,end,53,2992,2699
68,3240,win,67,3240,2834
100,3049,end,6,3079,2865
100,2709,end,9,3026,2660
100,2768,end,15,3107,2744
100,3089,end,98,3089,2758
100,3005,end,80,3110,2784
100,3101,end,40,3198,2883
100,2922,end,73,3024,2768
25,3232,win,24,3232,2930
25,3215,win,24,3215,2890
100,2319,end,2,2972,2319
100,2603,end,1,2951,2582
99,3212,win,98,3212,2862
36,3225,win,35,3225,2895
71,3221,win,70,3221,2781
100,2608,end,12,3024,2512
100,2984,end,53,3099,2814
100,3025,end,96,3165,2912
100,2995,end,89,3093,2808
100,2910,end,11,3146,2759
46,3219,win,45,3219,2911
100,2529,end,2,2940,2482
100,2793,end,10,3050,2563
100,2676,end,30,3162,2617
100,2998,end,73,3099,2904
100,2738,end,11,2942,2686
100,2684,end,11,3052,2647
100,2935,end,83,3053,2789
100,2782,end,10,3005,2687
100,2602,end,17,3027,2581
41,3210,win,40,3210,2930
100,2612,end,4,3017,2562
64,3220,win,63,3220,2802
100,2948,end,79,3099,2783
100,2503,end,4,2982,2455
100,2527,end,14,3037,2527
100,2702,end,3,3029,2702
99,3203,win,98,3203,2907
100,2762,end,0,3010,2588
93,3212,win,92,3212,2697
100,2928,end,68,3173,2879
100,3109,end,98,3179,2930
100,2901,end,40,3095,2835
100,2657,end,49,3045,2532
97,3204,win,96,3204,2708
100,2845,end,34,3199,2668
100,2486,end,2,3010,2360
71,3222,win,70,3222,2940
100,2953,end,81,3039,2691
100,3022,end,12,3066,2747
63,3235,win,62,3235,2876
